Location,Name,Description,Area,Beds,Baths,Price
Mostakbal City,"Apartment, Bloomfields",A 2 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 124 m2 with 2 bathrooms.,124,2,2,"9,371,000 
              EGP"
Ain Sokhna,"Villa, Il Monte Galala",A 5 bedrooms Villa in Il Monte Galala by Tatweer Misr. The Villa size is 288 m2 with 5 bathrooms.,288,5,5,"40,517,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 2 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 122 m2 with 2 bathrooms.,122,2,2,"9,621,000 
              EGP"
Ain Sokhna,"Villa, Il Monte Galala",A 4 bedrooms Villa in Il Monte Galala by Tatweer Misr. The Villa size is 323 m2 with 6 bathrooms and a roof of 60 m2.,323,6,6,"40,898,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 2 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 127 m2 with 3 bathrooms.,127,3,3,"9,902,000 
              EGP"
Ain Sokhna,"Villa, Il Monte Galala",A 5 bedrooms Villa in Il Monte Galala by Tatweer Misr. The Villa size is 288 m2 with 5 bathrooms and a roof of 29 m2.,288,5,5,"42,017,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 1 bedroom Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 117 m2 with 2 bathrooms.,117,2,2,"9,975,000 
              EGP"
Ain Sokhna,"Villa, Il Monte Galala",A 5 bedrooms Villa in Il Monte Galala by Tatweer Misr. The Villa size is 288 m2 with 5 bathrooms and a roof of 29 m2.,288,5,5,"42,135,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 2 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 105 m2 with 2 bathrooms with a garden of 60 m2.,105,2,2,"10,311,000 
              EGP"
Ain Sokhna,"Villa, Il Monte Galala",A 5 bedrooms Villa in Il Monte Galala by Tatweer Misr. The Villa size is 446 m2 with 7 bathrooms.,446,7,7,"65,068,000 
              EGP"
Ras El Hekma,"Chalet, Hacienda West",A 3 bedrooms Chalet in Hacienda West by Palm Hills Developments. The Chalet size is 264 m2 with 5 bathrooms and a roof of 84 m2.,264,5,5,"32,971,717 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 2 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 120 m2 with 3 bathrooms with a garden of 60 m2.,120,3,3,"10,345,000 
              EGP"
Ain Sokhna,"Villa, Il Monte Galala",A 5 bedrooms Villa in Il Monte Galala by Tatweer Misr. The Villa size is 446 m2 with 7 bathrooms and a terrace of 215 m2.,450,7,7,"70,612,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 2 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 130 m2 with 3 bathrooms.,130,3,3,"10,720,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 2 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 135 m2 with 3 bathrooms.,135,3,3,"11,111,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 2 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 129 m2 with 3 bathrooms with a garden of 50 m2.,129,3,3,"11,147,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 149 m2 with 3 bathrooms.,149,3,3,"11,625,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 150 m2 with 3 bathrooms.,150,3,3,"11,706,000 
              EGP"
Ras El Hekma,"Chalet, Salt",A 1 bedroom Chalet in Salt by Tatweer Misr. The Chalet size is 70 m2 with 2 bathrooms.,70,2,2,"7,989,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 155 m2 with 3 bathrooms.,155,3,3,"11,812,000 
              EGP"
Ras El Hekma,"Chalet, Salt",A 1 bedroom Chalet in Salt by Tatweer Misr. The Chalet size is 80 m2 with 2 bathrooms.,80,2,2,"9,131,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 2 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 146 m2 with 3 bathrooms.,146,3,3,"11,976,000 
              EGP"
Ras El Hekma,"Chalet, Salt",A 1 bedroom Chalet in Salt by Tatweer Misr. The Chalet size is 70 m2 with 2 bathrooms with a garden of 51 m2.,70,2,2,"9,318,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 2 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 153 m2 with 3 bathrooms.,153,3,3,"12,645,000 
              EGP"
Ras El Hekma,"Chalet, Salt",A 2 bedrooms Chalet in Salt by Tatweer Misr. The Chalet size is 95 m2 with 2 bathrooms.,95,2,2,"10,828,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 160 m2 with 3 bathrooms.,160,3,3,"13,051,000 
              EGP"
Ras El Hekma,"Chalet, Salt",A 3 bedrooms Chalet in Salt by Tatweer Misr. The Chalet size is 110 m2 with 2 bathrooms.,110,2,2,"12,509,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 155 m2 with 3 bathrooms with a garden of 46 m2.,155,3,3,"13,810,000 
              EGP"
Ras El Hekma,"Chalet, Salt",A 2 bedrooms Chalet in Salt by Tatweer Misr. The Chalet size is 95 m2 with 2 bathrooms with a garden of 245 m2.,95,2,2,"15,798,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 167 m2 with 3 bathrooms.,167,3,3,"14,017,000 
              EGP"
Ras El Hekma,"Chalet, Salt",A 3 bedrooms Chalet in Salt by Tatweer Misr. The Chalet size is 120 m2 with 2 bathrooms.,120,2,2,"17,178,000 
              EGP"
Ain Sokhna,"Twinhouse, Il Monte Galala",A 3 bedrooms Twinhouse in Il Monte Galala by Tatweer Misr. The Twinhouse size is 140 m2 with 4 bathrooms.,140,4,4,"15,739,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 168 m2 with 3 bathrooms.,168,3,3,"14,100,000 
              EGP"
Ras El Hekma,"Chalet, Salt",A 3 bedrooms Chalet in Salt by Tatweer Misr. The Chalet size is 120 m2 with 2 bathrooms with a garden of 91 m2.,120,2,2,"20,134,000 
              EGP"
Ain Sokhna,"Twinhouse, Il Monte Galala",A 3 bedrooms Twinhouse in Il Monte Galala by Tatweer Misr. The Twinhouse size is 180 m2 with 4 bathrooms.,180,4,4,"23,223,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 184 m2 with 3 bathrooms.,184,3,3,"14,249,000 
              EGP"
Ras El Hekma,"Chalet, Salt",A 3 bedrooms Chalet in Salt by Tatweer Misr. The Chalet size is 130 m2 with 2 bathrooms with a garden of 140 m2.,130,2,2,"21,261,000 
              EGP"
Ain Sokhna,"Twinhouse, Il Monte Galala",A 3 bedrooms Twinhouse in Il Monte Galala by Tatweer Misr. The Twinhouse size is 175 m2 with 4 bathrooms and a roof of 27 m2.,175,4,4,"25,391,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 215 m2 with 3 bathrooms.,215,3,3,"16,562,000 
              EGP"
Ain Sokhna,"Twinhouse, Il Monte Galala",A 3 bedrooms Twinhouse in Il Monte Galala by Tatweer Misr. The Twinhouse size is 200 m2 with 3 bathrooms and a terrace of 50 m2.,200,3,3,"30,835,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 218 m2 with 3 bathrooms.,218,3,3,"16,786,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 224 m2 with 3 bathrooms.,224,3,3,"17,235,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 231 m2 with 3 bathrooms.,231,3,3,"17,758,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 232 m2 with 3 bathrooms.,232,3,3,"17,831,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 233 m2 with 3 bathrooms.,233,3,3,"17,907,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 234 m2 with 3 bathrooms.,234,3,3,"17,981,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 240 m2 with 3 bathrooms.,240,3,3,"18,429,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 243 m2 with 3 bathrooms.,243,3,3,"18,653,000 
              EGP"
Ain Sokhna,"Townhouse, Il Monte Galala",A 3 bedrooms Townhouse in Il Monte Galala by Tatweer Misr. The Townhouse size is 130 m2 with 4 bathrooms.,130,4,4,"12,545,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 237 m2 with 3 bathrooms.,237,3,3,"18,736,000 
              EGP"
Ain Sokhna,"Townhouse, Il Monte Galala",A 3 bedrooms Townhouse in Il Monte Galala by Tatweer Misr. The Townhouse size is 155 m2 with 4 bathrooms.,155,4,4,"16,312,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 248 m2 with 3 bathrooms.,248,3,3,"19,027,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 246 m2 with 3 bathrooms.,246,3,3,"19,155,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 253 m2 with 3 bathrooms.,253,3,3,"19,400,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 256 m2 with 3 bathrooms.,256,3,3,"19,623,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 254 m2 with 3 bathrooms.,254,3,3,"20,023,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 259 m2 with 3 bathrooms.,259,3,3,"20,410,000 
              EGP"
Mostakbal City,"Apartment, Bloomfields",A 3 bedrooms Apartment in Bloomfields  by Tatweer Misr. The Apartment size is 285 m2 with 3 bathrooms.,285,3,3,"21,790,000 
              EGP"
Ain Sokhna,"Chalet, Il Monte Galala",A 1 bedroom Chalet in Il Monte Galala by Tatweer Misr. The Chalet size is 60 m2 with 1 bathroom.,60,1,1,"5,893,000 
              EGP"
Ain Sokhna,"Chalet, Il Monte Galala",A 1 bedroom Chalet in Il Monte Galala by Tatweer Misr. The Chalet size is 70 m2 with 1 bathroom.,70,1,1,"7,007,000 
              EGP"
Ain Sokhna,"Chalet, Il Monte Galala",A 2 bedrooms Chalet in Il Monte Galala by Tatweer Misr. The Chalet size is 90 m2 with 2 bathrooms.,90,2,2,"9,008,000 
              EGP"
Ain Sokhna,"Chalet, Il Monte Galala",A 3 bedrooms Chalet in Il Monte Galala by Tatweer Misr. The Chalet size is 105 m2 with 2 bathrooms.,105,2,2,"10,511,000 
              EGP"
Ain Sokhna,"Chalet, Il Monte Galala",A 3 bedrooms Chalet in Il Monte Galala by Tatweer Misr. The Chalet size is 115 m2 with 2 bathrooms.,115,2,2,"11,401,000 
              EGP"
Ain Sokhna,"Chalet, Il Monte Galala",A 3 bedrooms Chalet in Il Monte Galala by Tatweer Misr. The Chalet size is 105 m2 with 2 bathrooms with a garden of 88 m2.,105,2,2,"11,506,000 
              EGP"
Ain Sokhna,"Chalet, Il Monte Galala",A 3 bedrooms Chalet in Il Monte Galala by Tatweer Misr. The Chalet size is 136 m2 with 2 bathrooms.,136,2,2,"19,453,000 
              EGP"
Ain Sokhna,"Chalet, Il Monte Galala",A 2 bedrooms Chalet in Il Monte Galala by Tatweer Misr. The Chalet size is 112 m2 with 2 bathrooms.,112,2,2,"19,888,000 
              EGP"
Ras El Hekma,"Cabin, Hacienda West",A 3 bedrooms Cabin in Hacienda West by Palm Hills Developments. The Cabin size is 127 m2 with 3 bathrooms with a garden of 102 m2.,127,3,3,"79,400,850 
              EGP"
Ain Sokhna,"Serviced Apartment, Il Monte Galala",A 2 bedrooms Serviced Apartment in Il Monte Galala by Tatweer Misr. The Serviced Apartment size is 108 m2 with 2 bathrooms.,108,2,2,"12,286,000 
              EGP"
Ain Sokhna,"Serviced Apartment, Il Monte Galala",A 3 bedrooms Serviced Apartment in Il Monte Galala by Tatweer Misr. The Serviced Apartment size is 131 m2 with 2 bathrooms.,131,2,2,"14,890,000 
              EGP"
Mostakbal City,"Duplex, Bloomfields",A 3 bedrooms Duplex in Bloomfields  by Tatweer Misr. The Duplex size is 266 m2 with 3 bathrooms with a garden of 104 m2.,266,3,3,"21,987,000 
              EGP"
Mostakbal City,"Duplex, Bloomfields",A 3 bedrooms Duplex in Bloomfields  by Tatweer Misr. The Duplex size is 267 m2 with 3 bathrooms with a garden of 85 m2.,267,3,3,"22,031,000 
              EGP"
Mostakbal City,"Duplex, Bloomfields",A 3 bedrooms Duplex in Bloomfields  by Tatweer Misr. The Duplex size is 263 m2 with 3 bathrooms with a garden of 104 m2.,263,3,3,"22,123,000 
              EGP"
Mostakbal City,"Duplex, Bloomfields",A 3 bedrooms Duplex in Bloomfields  by Tatweer Misr. The Duplex size is 270 m2 with 3 bathrooms with a garden of 90 m2.,270,3,3,"22,257,000 
              EGP"
Mostakbal City,"Duplex, Bloomfields",A 3 bedrooms Duplex in Bloomfields  by Tatweer Misr. The Duplex size is 283 m2 with 3 bathrooms with a garden of 139 m2.,283,3,3,"23,391,000 
              EGP"
Mostakbal City,"Duplex, Bloomfields",A 3 bedrooms Duplex in Bloomfields  by Tatweer Misr. The Duplex size is 267 m2 with 3 bathrooms.,267,3,3,"24,457,000 
              EGP"
Mostakbal City,"Duplex, Bloomfields",A 3 bedrooms Duplex in Bloomfields  by Tatweer Misr. The Duplex size is 301 m2 with 3 bathrooms.,301,3,3,"25,385,000 
              EGP"
Mostakbal City,"Duplex, Bloomfields",A 3 bedrooms Duplex in Bloomfields  by Tatweer Misr. The Duplex size is 312 m2 with 3 bathrooms and a roof of 49 m2.,312,3,3,"26,643,000 
              EGP"
Mostakbal City,"Duplex, Bloomfields",A 3 bedrooms Duplex in Bloomfields  by Tatweer Misr. The Duplex size is 301 m2 with 3 bathrooms and a roof of 59 m2.,301,3,3,"27,273,000 
              EGP"
Mostakbal City,"Duplex, Bloomfields",A 3 bedrooms Duplex in Bloomfields  by Tatweer Misr. The Duplex size is 327 m2 with 3 bathrooms.,327,3,3,"28,901,000 
              EGP"
Mostakbal City,"Duplex, Bloomfields",A 3 bedrooms Duplex in Bloomfields  by Tatweer Misr. The Duplex size is 333 m2 with 3 bathrooms and a roof of 93 m2.,333,3,3,"29,087,000 
              EGP"
New Cairo,"Villa, Mountain View ICity New Cairo",A 4 bedrooms Villa in Mountain View ICity New Cairo by Mountain View. The Villa size is 300 m2 with 3 bathrooms with a garden of 365 m2.,300,3,3,"80,766,761 
              EGP"
New Cairo,"Villa, Palm Hills New Cairo",A 6 bedrooms Villa in Palm Hills New Cairo by Palm Hills Developments. The Villa size is 518 m2 with 7 bathrooms and a roof of 152 m2.,518,7,7,"80,250,000 
              EGP"
New Cairo,"Twinhouse, Palm Hills New Cairo",A 4 bedrooms Twinhouse in Palm Hills New Cairo by Palm Hills Developments. The Twinhouse size is 298 m2 with 5 bathrooms and a roof of 88 m2.,298,5,5,"40,585,000 
              EGP"
New Cairo,"Townhouse, Palm Hills New Cairo",A 4 bedrooms Townhouse in Palm Hills New Cairo by Palm Hills Developments. The Townhouse size is 226 m2 with 4 bathrooms and a roof of 56 m2.,226,4,4,"26,999,000 
              EGP"
October Gardens,"Apartment, District 1 - Rae",A 3 bedrooms Apartment in District 1 - Rae by Palm Hills Developments. The Apartment size is 195 m2 with 3 bathrooms.,195,3,3,"17,807,656 
              EGP"
October Gardens,"Apartment, Midyard",A 1 bedroom Apartment in Midyard by Orascom Development Egypt. The Apartment size is 80 m2 with 1 bathroom.,80,1,1,"9,604,000 
              EGP"
October Gardens,"Apartment, Green Valley",A 2 bedrooms Apartment in Green Valley by Orascom Development Egypt. The Apartment size is 136 m2 with 3 bathrooms with a garden of 208 m2.,136,3,3,"16,966,000 
              EGP"
New Cairo,"Apartment, Sapphire Residence",A 1 bedroom Apartment in Sapphire Residence by Qatari Diar. The Apartment size is 50 m2 with 1 bathroom.,50,1,1,"6,500,000 
              EGP"
New Capital City,"Apartment, The Valley New Capital",A 1 bedroom Apartment in The Valley New Capital by Misr Italia Properties. The Apartment size is 99 m2 with 2 bathrooms with a garden of 24 m2.,99,2,2,"7,000,000 
              EGP"
October Gardens,"Apartment, Core",A 1 bedroom Apartment in Core by Orascom Development Egypt. The Apartment size is 84 m2 with 1 bathroom.,84,1,1,"7,232,000 
              EGP"
October Gardens,"Apartment, Parkside - Owest",A 2 bedrooms Apartment in Parkside - Owest  by Orascom Development Egypt. The Apartment size is 94 m2 with 3 bathrooms.,94,3,3,"8,668,000 
              EGP"
New Cairo,"Apartment, Cleo - Palm Hills New Cairo",A 1 bedroom Apartment in Cleo - Palm Hills New Cairo by Palm Hills Developments. The Apartment size is 70 m2 with 1 bathroom.,70,1,1,"9,283,000 
              EGP"
El Sheikh Zayed,"Apartment, The Village Views",A 1 bedroom Apartment in The Village Views by Ora Developers. The Apartment size is 85 m2 with 1 bathroom and a terrace of 34 m2.,85,1,1,"9,742,000 
              EGP"
October Gardens,"Apartment, District 2 - Moon Heights",A 2 bedrooms Apartment in District 2 - Moon Heights by Palm Hills Developments. The Apartment size is 106 m2 with 2 bathrooms and a roof of 26 m2.,106,2,2,"9,867,228 
              EGP"
October Gardens,"Apartment, District 6 - The Village",A 2 bedrooms Apartment in District 6 - The Village by Palm Hills Developments. The Apartment size is 109 m2 with 2 bathrooms.,109,2,2,"10,128,997 
              EGP"
Northern Expansion,"Apartment, Club Park - ICity October",A 3 bedrooms Apartment in Club Park - ICity October by Mountain View. The Apartment size is 150 m2 with 3 bathrooms.,150,3,3,"10,130,424 
              EGP"
El Sheikh Zayed,"Apartment, Park Side Residences",A 1 bedroom Apartment in Park Side Residences by Ora Developers. The Apartment size is 82 m2 with 1 bathroom and a terrace of 9 m2.,82,1,1,"10,756,000 
              EGP"
October Gardens,"Apartment, District 6 - Laria",A 2 bedrooms Apartment in District 6 - Laria by Palm Hills Developments. The Apartment size is 114 m2 with 2 bathrooms and a roof of 28 m2.,114,2,2,"10,829,290 
              EGP"
Mostakbal City,"Office, Coflow",A  Office in Coflow  by Tatweer Misr. The Office size is 85 m2.,85,,,"10,917,000 
              EGP"
October Gardens,"Apartment, District 6 - Blu",A 2 bedrooms Apartment in District 6 - Blu  by Palm Hills Developments. The Apartment size is 125 m2 with 3 bathrooms.,125,3,3,"11,037,060 
              EGP"
New Cairo,"Apartment, Sapphire Golf Residences",A 2 bedrooms Apartment in Sapphire Golf Residences by Qatari Diar. The Apartment size is 107 m2 with 3 bathrooms.,107,3,3,"11,060,000 
              EGP"
South New Cairo,"Apartment, Plateau  District 5",A 1 bedroom Apartment in Plateau  District 5 by Marakez. The Apartment size is 74 m2 with 2 bathrooms.,74,2,2,"11,520,000 
              EGP"
New Heliopolis,"Apartment, Oak Residence",A 2 bedrooms Apartment in Oak Residence by SODIC. The Apartment size is 125 m2 with 3 bathrooms.,125,3,3,"12,080,000 
              EGP"
Ain Sokhna,"Chalet, Marina Residence Il Monte Galala",A 1 bedroom Chalet in Marina Residence Il Monte Galala by Tatweer Misr. The Chalet size is 70 m2 with 1 bathroom.,70,1,1,"12,138,000 
              EGP"
October Gardens,"Apartment, District 1 - Boulevard",A 2 bedrooms Apartment in District 1 - Boulevard  by Palm Hills Developments. The Apartment size is 145 m2 with 3 bathrooms.,145,3,3,"12,435,300 
              EGP"
6th settlement,"Apartment, Club residence",A 1 bedroom Apartment in Club residence by Ora Developers. The Apartment size is 89 m2 with 1 bathroom and a terrace of 10 m2.,89,1,1,"12,506,550 
              EGP"
6th of October City,"Apartment, Lagoon Beach Park Mountain View I-City October",A 2 bedrooms Apartment in Lagoon Beach Park Mountain View I-City October by Mountain View. The Apartment size is 125 m2 with 2 bathrooms.,125,2,2,"12,860,014 
              EGP"
New Cairo,"Apartment, Club Park- ICity New Cairo",A 3 bedrooms Apartment in Club Park- ICity New Cairo by Mountain View. The Apartment size is 155 m2 with 3 bathrooms.,155,3,3,"12,993,033 
              EGP"
Golden Square,"Apartment, V Residences By Villette",A 1 bedroom Apartment in V Residences By Villette by SODIC. The Apartment size is 81 m2 with 2 bathrooms.,81,2,2,"15,227,000 
              EGP"
New Cairo,"Apartment, Club Side Towers - Zed East",A 1 bedroom Apartment in Club Side Towers - Zed East  by Ora Developers. The Apartment size is 73 m2 with 1 bathroom and a terrace of 8 m2.,73,1,1,"15,484,350 
              EGP"
New Capital City,"Duplex, THE MEADOWS  Il Bosco",A 3 bedrooms Duplex in THE MEADOWS  Il Bosco  by Misr Italia Properties. The Duplex size is 220 m2 with 3 bathrooms with a garden of 42 m2.,220,3,3,"15,700,000 
              EGP"
South New Cairo,"Office, Mindhaus New Katameya",A  Office in Mindhaus New Katameya by Marakez. The Office size is 76 m2 and a terrace of 7 m2.,76,,,"16,711,000 
              EGP"
South New Cairo,"Apartment, D Parks New Cairo",A 2 bedrooms Apartment in D Parks New Cairo by Marakez. The Apartment size is 136 m2 with 3 bathrooms.,136,3,3,"17,079,000 
              EGP"
New Cairo,"Apartment, MV Park - ICity New Cairo",A 3 bedrooms Apartment in MV Park - ICity New Cairo by Mountain View. The Apartment size is 150 m2 with 3 bathrooms with a garden of 103 m2.,150,3,3,"17,637,891 
              EGP"
South New Cairo,"Office, Campus District 5",A  Office in Campus District 5 by Marakez. The Office size is 67 m2.,67,,,"18,288,000 
              EGP"
New Heliopolis,"Duplex, Camellia",A 3 bedrooms Duplex in Camellia by SODIC. The Duplex size is 183 m2 with 3 bathrooms with a garden of 58 m2.,183,3,3,"18,778,000 
              EGP"
New Capital City,"Townhouse, The Cliff Il Bosco",A 3 bedrooms Townhouse in The Cliff Il Bosco by Misr Italia Properties. The Townhouse size is 258 m2 with 4 bathrooms.,258,4,4,"18,900,000 
              EGP"
Ras El Hekma,"Apartment, Aquamarine-June",A 2 bedrooms Apartment in Aquamarine-June by SODIC. The Apartment size is 111 m2 with 2 bathrooms.,111,2,2,"19,025,000 
              EGP"
Sidi Heneish,"Apartment, Silvertown Silversands",A 2 bedrooms Apartment in Silvertown Silversands by Ora Developers. The Apartment size is 127 m2 with 2 bathrooms and a terrace of 20 m2.,127,2,2,"21,226,000 
              EGP"
October Gardens,"Villa, District 2 - Tali",A 3 bedrooms Villa in District 2 - Tali by Palm Hills Developments. The Villa size is 180 m2 with 4 bathrooms.,180,4,4,"21,296,000 
              EGP"
October Gardens,"Villa, District 2  - Ella Extension",A 3 bedrooms Villa in District 2  - Ella Extension  by Palm Hills Developments. The Villa size is 180 m2 with 4 bathrooms.,180,4,4,"21,298,000 
              EGP"
October Gardens,"Villa, District 2 - Ella",A 3 bedrooms Villa in District 2 - Ella by Palm Hills Developments. The Villa size is 180 m2 with 4 bathrooms.,180,4,4,"21,298,000 
              EGP"
October Gardens,"Villa, Jade Extension",A 3 bedrooms Villa in Jade Extension by Palm Hills Developments. The Villa size is 180 m2 with 4 bathrooms.,180,4,4,"21,303,000 
              EGP"
Ras El Hekma,"Serviced Apartment, Beach Residence-June",A 1 bedroom Serviced Apartment in Beach Residence-June by SODIC. The Serviced Apartment size is 76 m2 with 1 bathroom.,76,1,1,"22,786,000 
              EGP"
